product,price,quantity,date,region
pink morsel,$3.00,526,2020-10-13,north
pink morsel,$3.00,546,2020-10-13,south
pink morsel,$3.00,505,2020-10-13,east
pink morsel,$3.00,561,2020-10-13,west
gold morsel,$9.99,553,2020-10-13,north
gold morsel,$9.99,513,2020-10-13,south
gold morsel,$9.99,575,2020-10-13,east
gold morsel,$9.99,599,2020-10-13,west
magenta morsel,$2.50,544,2020-10-13,north
magenta morsel,$2.50,542,2020-10-13,south
magenta morsel,$2.50,507,2020-10-13,east
magenta morsel,$2.50,568,2020-10-13,west
chartreuse morsel,$3.00,509,2020-10-13,north
chartreuse morsel,$3.00,582,2020-10-13,south
chartreuse morsel,$3.00,517,2020-10-13,east
chartreuse morsel,$3.00,583,2020-10-13,west
periwinkle morsel,$1.25,511,2020-10-13,north
periwinkle morsel,$1.25,598,2020-10-13,south
periwinkle morsel,$1.25,546,2020-10-13,east
periwinkle morsel,$1.25,599,2020-10-13,west
vermilion morsel,$4.99,555,2020-10-13,north
vermilion morsel,$4.99,543,2020-10-13,south
vermilion morsel,$4.99,527,2020-10-13,east
vermilion morsel,$4.99,581,2020-10-13,west
lapis morsel,$1.99,504,2020-10-13,north
lapis morsel,$1.99,536,2020-10-13,south
lapis morsel,$1.99,518,2020-10-13,east
lapis morsel,$1.99,573,2020-10-13,west
pink morsel,$3.00,560,2020-10-14,north
pink morsel,$3.00,585,2020-10-14,south
pink morsel,$3.00,528,2020-10-14,east
pink morsel,$3.00,530,2020-10-14,west
gold morsel,$9.99,559,2020-10-14,north
gold morsel,$9.99,501,2020-10-14,south
gold morsel,$9.99,519,2020-10-14,east
gold morsel,$9.99,580,2020-10-14,west
magenta morsel,$2.50,515,2020-10-14,north
magenta morsel,$2.50,556,2020-10-14,south
magenta morsel,$2.50,585,2020-10-14,east
magenta morsel,$2.50,518,2020-10-14,west
chartreuse morsel,$3.00,596,2020-10-14,north
chartreuse morsel,$3.00,592,2020-10-14,south
chartreuse morsel,$3.00,536,2020-10-14,east
chartreuse morsel,$3.00,597,2020-10-14,west
periwinkle morsel,$1.25,500,2020-10-14,north
periwinkle morsel,$1.25,584,2020-10-14,south
periwinkle morsel,$1.25,510,2020-10-14,east
periwinkle morsel,$1.25,531,2020-10-14,west
vermilion morsel,$4.99,546,2020-10-14,north
vermilion morsel,$4.99,520,2020-10-14,south
vermilion morsel,$4.99,597,2020-10-14,east
vermilion morsel,$4.99,598,2020-10-14,west
lapis morsel,$1.99,503,2020-10-14,north
lapis morsel,$1.99,579,2020-10-14,south
lapis morsel,$1.99,528,2020-10-14,east
lapis morsel,$1.99,595,2020-10-14,west
pink morsel,$3.00,506,2020-10-15,north
pink morsel,$3.00,567,2020-10-15,south
pink morsel,$3.00,572,2020-10-15,east
pink morsel,$3.00,521,2020-10-15,west
gold morsel,$9.99,595,2020-10-15,north
gold morsel,$9.99,582,2020-10-15,south
gold morsel,$9.99,596,2020-10-15,east
gold morsel,$9.99,561,2020-10-15,west
magenta morsel,$2.50,527,2020-10-15,north
magenta morsel,$2.50,513,2020-10-15,south
magenta morsel,$2.50,534,2020-10-15,east
magenta morsel,$2.50,519,2020-10-15,west
chartreuse morsel,$3.00,542,2020-10-15,north
chartreuse morsel,$3.00,569,2020-10-15,south
chartreuse morsel,$3.00,505,2020-10-15,east
chartreuse morsel,$3.00,586,2020-10-15,west
periwinkle morsel,$1.25,560,2020-10-15,north
periwinkle morsel,$1.25,596,2020-10-15,south
periwinkle morsel,$1.25,574,2020-10-15,east
periwinkle morsel,$1.25,578,2020-10-15,west
vermilion morsel,$4.99,541,2020-10-15,north
vermilion morsel,$4.99,563,2020-10-15,south
vermilion morsel,$4.99,583,2020-10-15,east
vermilion morsel,$4.99,568,2020-10-15,west
lapis morsel,$1.99,549,2020-10-15,north
lapis morsel,$1.99,598,2020-10-15,south
lapis morsel,$1.99,595,2020-10-15,east
lapis morsel,$1.99,528,2020-10-15,west
pink morsel,$3.00,546,2020-10-16,north
pink morsel,$3.00,563,2020-10-16,south
pink morsel,$3.00,505,2020-10-16,east
pink morsel,$3.00,544,2020-10-16,west
gold morsel,$9.99,502,2020-10-16,north
gold morsel,$9.99,521,2020-10-16,south
gold morsel,$9.99,599,2020-10-16,east
gold morsel,$9.99,541,2020-10-16,west
magenta morsel,$2.50,591,2020-10-16,north
magenta morsel,$2.50,510,2020-10-16,south
magenta morsel,$2.50,575,2020-10-16,east
magenta morsel,$2.50,503,2020-10-16,west
chartreuse morsel,$3.00,585,2020-10-16,north
chartreuse morsel,$3.00,501,2020-10-16,south
chartreuse morsel,$3.00,566,2020-10-16,east
chartreuse morsel,$3.00,556,2020-10-16,west
